File Name,Name,ID,Version,Mod Loader,URL,Authors,Logo Path,Display Name,Abbr,Mcmod,Subname,Curseforge,Status,File Path,File SHA-1
refinedpolymorph-0.1.1-1.20.1.jar.disabled,Refined Polymorphism,refinedpolymorph,0.1.1-1.20.1,FORGE,,90,,Refined Polymorphism,,13832,,refined-polymorphism,Disabled,/home/zkitefly/Desktop/MC/.minecraft/versions/All the Mods 9/mods/refinedpolymorph-0.1.1-1.20.1.jar.disabled,6268974fcb84a01d52b70a78232c2bd6f2a450f8
refinedstorage-1.12.4.jar.disabled,Refined Storage,refinedstorage,1.12.4,FORGE,https://refinedmods.com/refined-storage,Refined Mods,,More Refined Storage,,5239,,morerefinedstorage,Disabled,/home/zkitefly/Desktop/MC/.minecraft/versions/All the Mods 9/mods/refinedstorage-1.12.4.jar.disabled,ff9e83c81344d0bfe9e0bb53c6df00c7e0a39cf5
refinedstorageaddons-0.10.0.jar.disabled,Refined Storage Addons,refinedstorageaddons,0.10.0,FORGE,https://refinedmods.com/refined-storage-addons,Refined Mods,,精致存储附属 (Refined Storage Addons),,977,Refined Storage Addons,refined-storage-addons,Disabled,/home/zkitefly/Desktop/MC/.minecraft/versions/All the Mods 9/mods/refinedstorageaddons-0.10.0.jar.disabled,829c7270a3fad543e441a18b5b9f27fd30824086
reliquary-1.20.1-2.0.41.1229.jar.disabled,Reliquary,reliquary,1.20.1-2.0.41.1229,FORGE,,,xrlogo.png,,,,,,Disabled,/home/zkitefly/Desktop/MC/.minecraft/versions/All the Mods 9/mods/reliquary-1.20.1-2.0.41.1229.jar.disabled,063deacc0f4d5f6085a02707fe3ac07e1a46b438
repurposed_structures-7.1.15+1.20.1-forge.jar.disabled,Repurposed Structures,repurposed_structures,7.1.15+1.20.1-forge,FORGE,https://www.curseforge.com/minecraft/mc-mods/repurposed-structures,TelepathicGrunt,,[RS] 结构变体 (Repurposed Structures),RS,4518,Repurposed Structures,repurposed-structures,Disabled,/home/zkitefly/Desktop/MC/.minecraft/versions/All the Mods 9/mods/repurposed_structures-7.1.15+1.20.1-forge.jar.disabled,faff7759e1c8f4b8bb9fe8a5a470b8cfa3739b06
resourcefulconfig-forge-1.20.1-2.1.2.jar.disabled,Resourcefulconfig,resourcefulconfig,2.1.2,FORGE,,,,Resourceful Config,,8300,,resourceful-config,Disabled,/home/zkitefly/Desktop/MC/.minecraft/versions/All the Mods 9/mods/resourcefulconfig-forge-1.20.1-2.1.2.jar.disabled,46825dc0adc36c4b19591bb99f7d856bc2953749
resourcefullib-forge-1.20.1-2.1.25.jar.disabled,Resourceful Lib,resourcefullib,2.1.25,FORGE,,"ThatGravyBoat, Epic_Oreo",,Resourceful Lib,,7647,,resourceful-lib,Disabled,/home/zkitefly/Desktop/MC/.minecraft/versions/All the Mods 9/mods/resourcefullib-forge-1.20.1-2.1.25.jar.disabled,ece094e553111a5b2beafb7b71c416737a2ead43
rftoolsbase-1.20-5.0.4.jar.disabled,RFToolsBase,rftoolsbase,1.20-5.0.4,FORGE,,,,RF工具：基础 (RFTools Base),,2095,RFTools Base,rftools-base,Disabled,/home/zkitefly/Desktop/MC/.minecraft/versions/All the Mods 9/mods/rftoolsbase-1.20-5.0.4.jar.disabled,9f9a69e0b35420e37055bdfe10d089e52a47bfb4
rftoolsbuilder-1.20-6.0.5.jar.disabled,RFToolsBuilder,rftoolsbuilder,1.20-6.0.5,FORGE,,,,RF工具：建造机 (RFTools Builder),,4561,RFTools Builder,rftools-builder,Disabled,/home/zkitefly/Desktop/MC/.minecraft/versions/All the Mods 9/mods/rftoolsbuilder-1.20-6.0.5.jar.disabled,25206e2a6c55a171a92584f2f4e847ebe408e7ec
rftoolscontrol-1.20-7.0.2.jar.disabled,RFToolsControl,rftoolscontrol,1.20-7.0.2,FORGE,,,,RF工具：控制 (RFTools Control),,818,RFTools Control,rftools-control,Disabled,/home/zkitefly/Desktop/MC/.minecraft/versions/All the Mods 9/mods/rftoolscontrol-1.20-7.0.2.jar.disabled,2fec86718745c7fd01f7e47e6d71e0c0996e5c50
